Location,Date,Temperature (°C),Feels Like (°C),Humidity (%),Weather Condition
New York,15/01/2023 2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,22/01/2023  2:15:00 PM,8.3,4.3,40,Partly cloudy
New York,30/01/2023  2:15:00 PM,8.7,4.7,40,Partly cloudy
New York,4/2/2023 14:15,8.1,4.1,40,Partly cloudy
New York,10/2/2023 14:15,8.2,4.2,40,Partly cloudy
New York,15/02/2023 2:15:00 PM,8.1,4.1,40,Partly cloudy
New York,22/02/2023  2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,28/02/2023  2:15:00 PM,8.5,4.5,40,Partly cloudy
New York,1/3/2023 14:15,8.4,4.4,40,Partly cloudy
New York,4/3/2023 14:15,8.2,4.2,40,Partly cloudy
New York,10/3/2023 14:15,8.3,4.3,40,Partly cloudy
New York,15/03/2023 2:15:00 PM,8.7,4.7,40,Partly cloudy
New York,22/03/2023  2:15:00 PM,8.1,4.1,40,Partly cloudy
New York,28/03/2023  2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,4/4/2023 14:15,8.3,4.3,40,Partly cloudy
New York,10/4/2023 14:15,8.7,4.7,40,Partly cloudy
New York,15/04/2023 2:15:00 PM,8.1,4.1,40,Partly cloudy
New York,22/04/2023  2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,28/04/2023  2:15:00 PM,8.3,4.3,40,Partly cloudy
New York,4/5/2023 14:15,8.4,4.4,40,Partly cloudy
New York,10/5/2023 14:15,8.2,4.2,40,Partly cloudy
New York,15/5/2023 2:15:00 PM,8.3,4.3,40,Partly cloudy
New York,22/5/2023  2:15:00 PM,8.7,4.7,40,Partly cloudy
New York,28/5/2023  2:15:00 PM,8.1,4.1,40,Partly cloudy
New York,4/6/2023 14:15,8.2,4.2,40,Partly cloudy
New York,10/6/2023 14:15,8.2,4.2,40,Partly cloudy
New York,15/6/2023 2:15:00 PM,8.3,4.3,40,Partly cloudy
New York,22/6/2023  2:15:00 PM,8.7,4.7,40,Partly cloudy
New York,28/6/2023  2:15:00 PM,8.1,4.1,40,Partly cloudy
New York,4/7/2023 14:15,8.2,4.2,40,Partly cloudy
New York,10/7/2023 14:15,8.1,4.1,40,Partly cloudy
New York,15/7/2023 2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,22/7/2023  2:15:00 PM,8.5,4.5,40,Partly cloudy
New York,28/7/2023  2:15:00 PM,8.4,4.4,40,Partly cloudy
New York,4/8/2023 14:15,8.2,4.2,40,Partly cloudy
New York,10/8/2023 14:15,8.3,4.3,40,Partly cloudy
New York,15/8/2023 2:15:00 PM,8.7,4.5,40,Partly cloudy
New York,22/8/2023  2:15:00 PM,8.1,4.1,40,Partly cloudy
New York,28/8/2023  2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,4/9/2023 14:15,8.3,4.3,40,Partly cloudy
New York,10/9/2023 14:15,8.7,4.7,40,Partly cloudy
New York,15/9/2023 2:15:00 PM,8.1,4.1,40,Partly cloudy
New York,22/9/2023  2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,28/9/2023  2:15:00 PM,8.3,4.3,40,Partly cloudy
New York,4/10/2023 14:15,8.2,4.2,40,Partly cloudy
New York,10/10/2023 14:15,8.1,4.1,40,Partly cloudy
New York,15/10/2023 2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,22/10/2023  2:15:00 PM,8.5,4.5,40,Partly cloudy
New York,28/10/2023  2:15:00 PM,8.4,4.4,40,Partly cloudy
New York,4/11/2023 14:15,8.2,4.2,40,Partly cloudy
New York,10/11/2023 14:15,8.3,4.3,40,Partly cloudy
New York,15/11/2023 2:15:00 PM,8.7,4.7,40,Partly cloudy
New York,22/11/2023  2:15:00 PM,8.1,4.1,40,Partly cloudy
New York,28/11/2023  2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,4/12/2023 14:15,8.3,4.3,40,Partly cloudy
New York,10/12/2023 14:15,8.7,4.7,40,Partly cloudy
New York,15/12/2023 2:15:00 PM,8.1,4.1,40,Partly cloudy
New York,22/12/2023  2:15:00 PM,8.2,4.2,40,Partly cloudy
London,4/5/2022 14:15,15,13.8,67,Partly cloudy
London,10/5/2022 14:15,15,13.8,67,Partly cloudy
London,15/5/2022 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/5/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/5/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/6/2022 14:15,15,13.8,67,Partly cloudy
London,10/6/2022 14:15,15,13.8,67,Partly cloudy
London,15/6/2022 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/6/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/6/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/7/2022 14:15,15,13.8,67,Partly cloudy
London,10/7/2022 14:15,15,13.8,67,Partly cloudy
London,15/7/2022 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/7/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/7/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/8/2022 14:15,15,13.8,67,Partly cloudy
London,10/8/2022 14:15,15,13.8,67,Partly cloudy
London,15/8/2022 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/8/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/8/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/9/2022 14:15,15,13.8,67,Partly cloudy
London,10/9/2022 14:15,15,13.8,67,Partly cloudy
London,15/9/2022 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/9/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/9/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/10/2022 14:15,15,13.8,67,Partly cloudy
London,10/10/2022 14:15,15,13.8,67,Partly cloudy
London,15/10/2022 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/10/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/10/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/11/2022 14:15,15,13.8,67,Partly cloudy
London,10/11/2022 14:15,15,13.8,67,Partly cloudy
London,15/11/2022 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/11/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/11/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/12/2022 14:15,15,13.8,67,Partly cloudy
London,10/12/2022 14:15,15,13.8,67,Partly cloudy
London,15/12/2022 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/12/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/12/2022  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/1/2023 14:15,15,13.8,67,Partly cloudy
London,10/1/2023 14:15,15,13.8,67,Partly cloudy
London,15/01/2023 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/01/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,30/01/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/2/2023 14:15,15,13.8,67,Partly cloudy
London,10/2/2023 14:15,15,13.8,67,Partly cloudy
London,15/02/2023 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/02/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/02/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,1/3/2023 14:15,15,13.8,67,Partly cloudy
London,4/3/2023 14:15,15,13.8,67,Partly cloudy
London,10/3/2023 14:15,15,13.8,67,Partly cloudy
London,15/03/2023 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/03/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/03/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/4/2023 14:15,15,13.8,67,Partly cloudy
London,10/4/2023 14:15,15,13.8,67,Partly cloudy
London,15/04/2023 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/04/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/04/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/5/2023 14:15,15,13.8,67,Partly cloudy
London,10/5/2023 14:15,15,13.8,67,Partly cloudy
London,15/5/2023 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/5/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/5/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/6/2023 14:15,15,13.8,67,Partly cloudy
London,10/6/2023 14:15,15,13.8,67,Partly cloudy
London,15/6/2023 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/6/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/6/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/7/2023 14:15,15,13.8,67,Partly cloudy
London,10/7/2023 14:15,15,13.8,67,Partly cloudy
London,15/7/2023 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/7/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/7/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/8/2023 14:15,15,13.8,67,Partly cloudy
London,10/8/2023 14:15,15,13.8,67,Partly cloudy
London,15/8/2023 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/8/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/8/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/9/2023 14:15,15,13.8,67,Partly cloudy
London,10/9/2023 14:15,15,13.8,67,Partly cloudy
London,15/9/2023 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/9/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/9/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/10/2023 14:15,15,13.8,67,Partly cloudy
London,10/10/2023 14:15,15,13.8,67,Partly cloudy
London,15/10/2023 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/10/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/10/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/11/2023 14:15,15,13.8,67,Partly cloudy
London,10/11/2023 14:15,15,13.8,67,Partly cloudy
London,15/11/2023 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/11/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,28/11/2023  2:15:00 PM,15,13.8,67,Partly cloudy
London,4/12/2023 14:15,15,13.8,67,Partly cloudy
London,10/12/2023 14:15,15,13.8,67,Partly cloudy
London,15/12/2023 2:15:00 PM,15,13.8,67,Partly cloudy
London,22/12/2023  2:15:00 PM,15,13.8,67,Partly cloudy
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/6/2024 3:30,10,8.1,76,Light rain
Tokyo,4/5/2024 20:30,10,8.1,76,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/5/2024 20:30,16,16,88,Light rain
Paris,4/6/2024 5:30,16,16,88,Light rain
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
